Acidobacteria;Actinobacteria;Armatimonadetes;Bacteroidetes;Chlamydiae;Chloroflexi;Cyanobacteria;Dadabacteria;Deferribacteres;Deinococcus.Thermus;Dependentiae;Elusimicrobia;Entotheonellaeota;FBP;Fibrobacteres;Firmicutes;Fusobacteria;Gemmatimonadetes;Latescibacteria;Nitrospirae;Omnitrophicaeota;Patescibacteria;Planctomycetes;Proteobacteria;Rokubacteria;Spirochaetes;Tenericutes;Verrucomicrobia;Zixibacteria
BactV5V7-BC29-70_S29_L001;0;1588;0;35;3;0;0;0;0;0;0;0;0;0;0;806;0;0;0;0;0;0;0;1662;0;0;0;0;0
BactV5V7-BC27-67_S27_L001;0;4518;0;298;12;3;0;0;0;0;11;0;0;0;0;7598;0;6;0;0;0;0;0;3919;0;0;0;0;0
BactV5V7-BC6-15_S6_L001;69;4764;8;829;6;33;0;0;0;0;0;0;0;0;0;2288;4;0;0;6;0;0;0;12753;0;0;0;0;0
BactV5V7-BC24-57_S24_L001;61;5758;0;50;12;0;0;0;0;0;32;11;0;0;0;10330;0;11;0;11;0;2;0;5699;0;0;0;0;0
BactV5V7-BC74-209_S74_L001;0;4369;0;267;24;10;0;0;0;0;5;0;0;0;0;569;0;3;0;0;0;0;0;17764;0;0;0;0;0
BactV5V7-BC79-219_S79_L001;33;478;0;209;3;10;0;0;0;0;0;0;0;0;0;1179;0;12;0;29;0;0;0;21512;0;0;0;17;0
BactV5V7-BC8-18_S8_L001;113;1418;12;6243;7;64;0;0;0;0;6;0;0;0;0;2064;0;12;0;0;0;113;11;13941;0;0;0;36;0
BactV5V7-BC72-203_S72_L001;0;1135;0;11733;5;0;0;0;0;0;4;0;0;0;0;1414;0;0;0;0;0;0;0;10348;0;0;0;0;0
BactV5V7-BC66-197_S66_L001;7;12716;9;1790;21;8;7;0;0;11;15;0;0;0;9;3047;0;24;0;0;0;159;0;6880;0;0;0;0;0
BactV5V7-BC197-5_S197_L001;784;3132;24;1692;0;776;9;0;0;2;4;0;14;8;46;262;0;299;15;151;0;20;22;18239;0;0;0;279;0
BactV5V7-BC65-196_S65_L001;0;2218;0;10185;0;0;9;0;0;0;38;0;0;5;0;2069;0;4;0;0;0;13;27;11276;0;0;0;0;0
BactV5V7-BC64-195_S64_L001;33;10182;0;1528;152;10;0;0;0;0;3;0;0;0;0;3509;0;0;0;0;0;39;8;10513;0;0;0;27;0
BactV5V7-BC58-180_S58_L001;0;1082;0;1994;21;12;0;0;0;0;0;0;4;0;0;486;0;4;0;4;0;0;0;22483;0;0;0;0;0
BactV5V7-BC57-179_S57_L001;0;1432;0;329;75;0;0;0;0;0;16;0;0;0;0;3601;0;0;0;0;0;0;0;20646;0;0;0;0;0
BactV5V7-BC69-200_S69_L001;2;2527;0;1328;7;0;0;0;0;0;0;0;0;0;3;482;0;0;0;0;0;59;0;22169;0;0;0;0;0
BactV5V7-BC70-201_S70_L001;0;296;0;5856;16;0;0;0;0;0;0;4;0;0;0;685;0;0;0;0;0;0;0;19875;0;0;0;0;0
BactV5V7-BC73-205_S73_L001;0;589;0;115;11;0;0;0;0;0;36;0;0;0;0;445;0;0;0;0;0;12;0;25641;0;0;0;5;0
BactV5V7-BC78-218_S78_L001;5;1803;0;1662;18;0;0;0;0;0;36;0;0;0;0;2233;0;3;0;0;0;53;0;21486;0;0;0;6;0
BactV5V7-BC71-202_S71_L001;4;1594;0;1209;63;0;0;0;0;0;10;0;0;0;4;1539;0;0;0;0;0;20;0;22948;0;0;0;3;0
BactV5V7-BC30-73_S30_L001;7;16754;0;1571;27;0;0;0;0;0;24;0;0;0;0;3006;0;12;0;8;0;7;20;5947;0;0;0;14;0
BactV5V7-BC338-193_S338_L001;565;3225;37;2354;6;420;22;0;0;0;2;0;19;4;114;962;0;500;0;129;0;14;86;18967;0;8;0;365;0
BactV5V7-BC68-199_S68_L001;0;617;0;5933;4;0;0;0;0;0;0;0;0;0;10;254;0;0;0;0;0;25;0;21259;0;0;0;0;0
BactV5V7-BC19-44_S19_L001;27;6512;0;4636;10;6;0;0;0;0;27;0;0;0;0;2408;0;16;0;0;0;0;0;14486;0;0;0;2;0
BactV5V7-BC337-192_S337_L001;707;2574;75;2897;31;235;0;0;0;0;0;12;16;9;298;815;0;775;0;152;0;140;123;19019;0;0;0;587;0
BactV5V7-BC62-184_S62_L001;0;200;0;2752;25;0;0;0;0;0;11;0;0;0;0;657;0;0;0;0;0;68;0;24853;0;0;0;0;0
BactV5V7-BC67-198_S67_L001;3;2322;0;443;22;3;0;0;0;0;0;0;0;0;0;7978;0;0;0;0;0;3;0;17792;0;0;0;0;0
BactV5V7-BC340-204_S340_L001;407;1961;46;3125;6;171;31;0;0;0;0;2;0;13;203;1169;0;368;0;110;0;116;35;20568;0;0;0;303;0
BactV5V7-BC25-58_S25_L001;89;6709;0;2297;24;26;0;0;0;7;130;0;0;0;0;6749;0;35;0;3;0;84;0;12651;0;0;0;32;0
BactV5V7-BC56-178_S56_L001;389;7120;6;1190;16;179;162;0;0;0;0;4;28;0;11;2038;0;407;0;134;0;81;25;16910;0;0;0;152;0
BactV5V7-BC355-226_S355_L001;1282;5769;55;1689;20;541;16;0;0;3;8;0;65;2;23;1545;0;1154;12;375;0;16;73;15510;0;0;0;800;0
BactV5V7-BC2-7_S2_L001;47;4244;0;1905;24;28;0;0;0;0;20;0;0;0;0;713;0;33;0;20;0;6;7;21917;0;0;0;18;0
BactV5V7-BC20-47_S20_L001;11;8862;0;2012;17;22;0;0;0;0;12;0;0;0;0;6855;6;43;0;0;0;113;0;11167;0;0;0;0;0
BactV5V7-BC60-182_S60_L001;5;1123;4;1289;15;7;0;0;0;0;32;0;0;0;0;569;0;0;0;0;0;20;0;26222;0;0;0;0;0
BactV5V7-BC76-211_S76_L001;0;3802;0;1616;11;5;5;0;0;0;0;0;0;0;8;2569;0;8;0;0;0;21;9;21450;0;0;0;0;0
BactV5V7-BC26-59_S26_L001;22;3514;9;768;39;9;39;0;0;0;64;0;0;0;0;3835;0;12;6;0;0;0;0;21235;0;0;0;19;0
BactV5V7-BC224-79_S224_L001;668;3922;61;2290;7;332;36;0;0;0;0;0;27;0;55;836;0;705;15;195;0;17;3;20012;0;0;0;395;0
BactV5V7-BC28-68_S28_L001;23;7560;0;930;26;0;0;6;0;0;11;0;0;0;0;7464;0;0;0;0;0;0;0;13652;0;0;0;0;0
BactV5V7-BC59-181_S59_L001;0;392;0;402;5;0;0;0;0;0;0;0;0;0;4;1787;0;3;0;0;0;19;0;27472;0;0;0;0;0
BactV5V7-BC372-243_S372_L001;711;2821;75;2762;26;319;16;0;0;0;5;4;0;6;229;368;0;691;2;163;0;55;104;21291;0;8;0;452;0
BactV5V7-BC370-241_S370_L001;725;3367;59;3252;12;240;13;0;0;0;10;8;0;14;225;1208;0;777;0;118;0;131;60;19568;0;0;0;442;0
BactV5V7-BC32-81_S32_L001;0;3016;0;2464;46;0;0;0;0;0;9;0;0;0;8;2522;0;12;0;0;0;78;0;22140;0;0;0;0;0
BactV5V7-BC1-6_S1_L001;77;2483;0;318;17;11;0;0;0;19;40;0;0;0;0;2018;0;51;0;16;0;17;0;25386;0;0;0;52;0
BactV5V7-BC348-216_S348_L001;680;3643;54;2851;6;295;20;0;0;0;2;16;31;3;284;814;0;686;11;199;0;179;94;20298;0;0;0;350;0
BactV5V7-BC345-213_S345_L001;546;2045;77;3545;47;200;22;0;0;2;8;5;0;16;202;1170;0;542;0;99;0;121;55;21450;0;8;0;381;0
BactV5V7-BC33-89_S33_L001;65;865;0;1024;98;7;0;0;0;0;126;0;0;0;0;11243;0;2;0;0;0;5;8;17327;0;0;0;0;0
BactV5V7-BC361-232_S361_L001;683;3040;127;3715;25;290;30;0;0;0;6;7;20;6;339;1138;0;765;8;214;2;48;151;19621;0;19;0;606;0
BactV5V7-BC238-86_S238_L001;1095;4392;54;2490;0;302;0;0;0;0;7;16;22;20;210;409;0;1017;22;293;0;69;51;19882;0;0;0;556;0
BactV5V7-BC335-190_S335_L001;1251;3761;49;2703;17;364;24;0;0;0;8;0;34;0;430;771;0;925;6;293;0;85;158;19116;0;6;0;912;0
BactV5V7-BC369-240_S369_L001;404;1958;39;3628;15;116;32;0;0;5;5;0;8;0;154;849;0;502;0;82;0;107;33;22878;0;0;0;239;0
BactV5V7-BC31-74_S31_L001;20;9922;10;683;53;0;3;0;0;7;84;0;0;0;0;8353;0;30;0;0;0;28;0;11925;0;0;0;18;0
BactV5V7-BC61-183_S61_L001;0;291;0;208;0;0;0;0;0;0;18;0;0;4;0;8175;0;0;0;0;0;6;0;22473;0;0;0;0;0
BactV5V7-BC75-210_S75_L001;0;225;0;273;11;0;0;0;0;0;13;0;0;0;0;1420;10;9;0;5;0;9;0;29310;0;0;0;0;0
BactV5V7-BC77-217_S77_L001;62;1341;0;164;2;0;0;0;0;0;0;0;0;0;0;2407;0;5;0;0;0;0;0;27368;0;0;0;0;0
BactV5V7-BC334-189_S334_L001;1840;4851;32;1603;24;502;8;0;0;0;18;32;39;5;29;566;0;1093;24;345;0;102;142;19021;0;0;0;1160;0
BactV5V7-BC203-29_S203_L001;1311;6666;3;1599;12;456;43;0;0;18;18;2;27;7;0;1126;0;1081;2;317;0;22;34;18207;0;0;0;564;0
BactV5V7-BC331-186_S331_L001;1112;6805;36;1434;50;432;32;0;0;0;27;21;39;2;25;1372;0;948;0;238;0;58;101;18287;0;0;0;691;0
BactV5V7-BC332-187_S332_L001;1797;4777;6;1881;10;687;38;0;0;9;30;23;49;0;64;1075;0;1230;6;285;0;2;33;18943;0;0;0;772;0
BactV5V7-BC4-12_S4_L001;101;4233;0;775;9;16;0;0;0;0;25;0;0;0;0;6977;0;50;0;0;0;0;31;19505;0;0;0;62;0
BactV5V7-BC375-246_S375_L001;1587;5555;2;3126;23;447;33;0;0;3;14;69;27;0;70;1653;0;1261;17;262;0;33;18;17223;0;0;0;543;0
BactV5V7-BC343-208_S343_L001;1048;5660;41;2654;42;481;24;0;0;0;44;0;50;0;281;1789;0;903;11;292;0;26;128;17768;0;17;0;772;0
BactV5V7-BC236-93_S236_L001;1230;3601;48;3241;5;95;13;0;0;0;12;10;0;7;94;400;0;312;15;351;0;45;42;22228;0;0;0;574;0
BactV5V7-BC227-83_S227_L001;805;6208;56;2926;8;308;6;0;0;4;8;0;26;0;211;735;0;716;13;203;0;55;39;19733;0;0;0;466;0
BactV5V7-BC195-3_S195_L001;789;3056;38;2643;2;322;15;0;0;0;2;0;15;13;82;447;0;815;6;204;0;9;25;23800;0;0;0;358;0
BactV5V7-BC362-233_S362_L001;1371;8409;32;1188;55;572;24;0;0;0;24;10;74;9;13;1654;0;1140;33;352;0;83;50;17005;0;0;0;543;0
BactV5V7-BC17-42_S17_L001;200;5550;0;5111;61;132;18;0;0;0;0;0;0;0;0;3947;0;183;11;46;0;114;18;17211;3;0;0;41;11
BactV5V7-BC196-4_S196_L001;985;2914;74;4227;4;219;0;0;0;0;3;10;22;4;244;390;0;756;3;252;0;49;50;21780;0;0;0;712;0
BactV5V7-BC215-61_S215_L001;1634;5340;37;2226;2;487;9;0;0;0;8;16;31;21;110;533;0;1258;0;417;0;44;47;19803;0;0;0;850;0
BactV5V7-BC371-242_S371_L001;763;3255;72;3188;22;301;15;0;0;0;11;21;15;17;247;736;0;826;5;188;0;87;46;22747;0;5;0;469;0
BactV5V7-BC63-185_S63_L001;0;633;0;425;39;0;0;0;0;0;11;0;0;0;0;1518;0;21;0;0;0;5;0;30412;0;0;0;0;0
BactV5V7-BC336-191_S336_L001;510;2045;51;3857;37;202;14;0;0;0;4;12;8;13;158;1359;0;575;0;102;0;94;61;23649;0;6;0;335;0
BactV5V7-BC358-229_S358_L001;1239;7343;27;1436;33;565;33;0;0;5;12;13;47;11;32;1610;0;1328;14;281;0;42;86;18377;0;0;0;591;0
BactV5V7-BC376-247_S376_L001;1481;7458;31;1890;21;584;5;0;0;0;9;49;37;0;88;988;0;1407;27;390;0;68;75;17978;0;0;0;827;0
BactV5V7-BC10-23_S10_L001;0;2611;0;19627;0;0;0;0;0;0;0;0;0;0;0;1175;0;0;0;0;0;0;0;10008;0;0;0;0;0
BactV5V7-BC333-188_S333_L001;890;4329;89;3264;4;401;22;0;0;0;13;15;26;2;306;973;0;850;17;251;0;54;103;21304;0;0;0;638;0
BactV5V7-BC228-84_S228_L001;857;5393;49;3136;2;265;3;0;0;3;10;2;20;17;99;720;0;521;5;234;0;45;50;21641;0;0;0;520;0
BactV5V7-BC239-96_S239_L001;1064;4953;89;3275;11;390;19;0;0;4;15;13;28;28;49;759;0;1030;7;307;0;65;51;20949;0;0;0;564;0
BactV5V7-BC230-95_S230_L001;835;3894;63;3777;2;251;20;0;0;0;3;0;16;6;77;587;0;579;2;204;0;43;36;22854;0;0;0;513;0
BactV5V7-BC233-90_S233_L001;908;6324;58;3076;0;364;11;0;0;2;5;0;30;29;36;775;0;706;0;169;0;38;62;20792;0;0;0;383;0
BactV5V7-BC377-248_S377_L001;883;4019;89;3082;16;391;25;0;0;0;2;9;17;14;302;666;0;818;8;177;0;94;72;22732;0;0;0;476;0
BactV5V7-BC14-37_S14_L001;338;9444;20;4196;30;101;18;0;0;0;3;15;20;24;4;3100;0;163;0;56;0;35;13;16267;0;0;0;135;0
BactV5V7-BC235-92_S235_L001;1170;6653;20;2652;4;501;16;0;0;3;4;19;38;3;142;838;0;1137;21;332;0;58;77;19756;0;0;0;552;0
BactV5V7-BC231-87_S231_L001;782;3949;67;2706;0;279;6;0;0;3;0;0;18;6;139;597;0;760;10;174;0;55;54;24032;0;0;0;493;0
BactV5V7-BC367-238_S367_L001;1263;3765;2;3688;14;250;83;0;0;0;4;10;0;0;6;2272;0;941;0;144;0;30;11;21320;0;0;0;400;0
BactV5V7-BC205-31_S205_L001;1832;7811;9;2035;8;533;38;2;0;0;16;33;49;22;0;650;0;1603;11;554;0;69;73;18060;0;0;0;809;0
BactV5V7-BC232-88_S232_L001;672;4158;43;3961;11;286;11;0;0;0;2;2;14;18;101;563;0;716;14;190;0;44;24;23000;0;0;0;404;0
BactV5V7-BC229-85_S229_L001;1189;4442;68;3138;6;224;22;0;0;0;3;2;0;18;101;595;0;451;18;281;0;36;66;23208;0;0;0;675;0
BactV5V7-BC368-239_S368_L001;1483;7532;11;1514;20;604;17;0;0;0;9;7;44;0;20;1716;0;1253;0;291;0;107;65;19671;0;0;0;474;0
BactV5V7-BC234-91_S234_L001;1006;6762;26;2624;15;482;25;0;3;3;5;0;42;14;84;997;0;994;16;263;0;28;54;20961;0;0;0;562;0
BactV5V7-BC346-214_S346_L001;830;4591;130;3106;32;347;27;0;0;0;6;10;24;0;353;723;0;863;7;201;0;101;103;23030;0;7;0;575;0
BactV5V7-BC354-225_S354_L001;614;6534;0;651;24;387;57;0;0;0;18;0;41;0;53;10245;0;550;0;78;0;72;33;15436;0;0;0;341;0
BactV5V7-BC342-207_S342_L001;1380;5967;58;2351;5;525;41;0;0;0;14;0;42;0;26;1551;0;1034;16;371;0;11;106;20777;0;0;0;880;0
BactV5V7-BC360-231_S360_L001;1032;4245;81;3115;22;325;20;0;0;4;7;14;15;7;356;930;0;1067;15;267;0;156;122;22902;0;9;0;620;0
BactV5V7-BC13-33_S13_L001;61;6045;0;664;41;7;73;0;0;21;56;0;0;0;0;9926;0;24;0;9;0;9;19;18411;0;0;0;79;0
BactV5V7-BC226-82_S226_L001;1130;6725;26;2918;19;463;2;0;0;0;2;0;42;7;159;754;0;969;7;273;0;21;48;21282;0;0;0;606;0
BactV5V7-BC351-222_S351_L001;816;3378;61;3561;13;367;21;0;0;0;3;32;12;0;290;1314;0;951;4;242;0;84;65;23623;0;2;2;647;0
BactV5V7-BC344-212_S344_L001;966;3250;78;4057;33;353;18;0;0;0;22;0;13;5;399;1324;0;898;7;180;0;163;77;23094;3;0;0;557;0
BactV5V7-BC378-249_S378_L001;885;3834;79;3645;9;323;22;0;0;9;5;11;16;10;291;948;0;807;9;184;0;81;49;23928;0;8;0;422;0
BactV5V7-BC356-227_S356_L001;1420;6820;21;2402;4;416;29;0;0;0;120;21;44;0;194;1865;0;930;0;206;0;38;104;20378;0;0;0;653;0
BactV5V7-BC251-111_S251_L001;1406;7157;34;2554;14;570;6;0;0;0;5;11;39;2;146;289;0;1477;26;475;0;69;60;20419;0;0;0;920;0
BactV5V7-BC352-223_S352_L001;1520;4553;36;2229;59;602;22;0;0;0;725;39;41;4;269;1775;0;1461;10;263;0;67;86;21076;0;0;0;910;0
BactV5V7-BC366-237_S366_L001;2262;6836;73;1726;11;540;18;0;0;0;9;35;49;0;40;1393;0;1801;42;482;0;94;198;19760;3;0;0;681;0
BactV5V7-BC373-244_S373_L001;1208;4774;23;5452;28;393;18;0;0;0;6;21;28;6;50;1659;0;940;0;170;0;60;17;20689;0;0;0;682;0
BactV5V7-BC364-235_S364_L001;1451;7563;25;1282;35;764;40;0;0;0;3;14;35;4;34;1344;0;1848;9;287;0;47;73;20881;0;0;0;602;0
BactV5V7-BC223-78_S223_L001;1247;5556;47;3043;0;464;22;0;0;3;12;10;44;11;77;906;0;880;10;297;0;34;61;23099;0;0;0;752;0
BactV5V7-BC374-245_S374_L001;1146;6151;13;2792;23;532;39;0;0;2;139;49;34;13;375;1330;0;1063;10;162;0;45;101;22045;0;0;0;752;0
BactV5V7-BC349-220_S349_L001;1012;3524;42;3567;83;329;23;0;0;2;12;4;12;20;345;1507;0;736;13;195;0;144;94;24573;0;0;0;586;0
BactV5V7-BC339-194_S339_L001;1883;7682;28;2573;24;588;23;0;0;2;16;2;51;0;62;1284;0;1515;20;583;0;16;117;19478;0;0;0;1066;0
BactV5V7-BC359-230_S359_L001;1184;5648;3;4057;15;245;82;0;0;29;8;0;31;0;10;3004;0;796;5;157;0;142;12;21253;0;0;0;380;0
BactV5V7-BC225-80_S225_L001;1410;7264;30;1924;13;662;2;0;0;0;30;7;23;12;0;1361;0;1601;18;309;0;43;25;21876;2;0;2;624;0
BactV5V7-BC353-224_S353_L001;1092;5762;0;5127;13;240;31;0;0;70;0;10;34;0;3;3236;0;651;0;128;0;30;3;20391;0;0;0;431;0
BactV5V7-BC365-236_S365_L001;2162;8243;14;2129;29;545;49;0;0;0;19;70;59;0;59;1319;0;1574;20;376;0;18;48;19879;0;0;0;795;0
BactV5V7-BC16-40_S16_L001;71;9988;6;3514;66;16;0;0;0;11;23;0;0;0;0;8466;14;83;0;6;0;88;0;15110;0;0;0;35;0
BactV5V7-BC237-94_S237_L001;1133;4259;94;3868;0;161;12;0;0;3;8;0;0;2;74;886;0;384;10;316;0;46;88;25588;0;0;0;577;0
BactV5V7-BC341-206_S341_L001;1608;7992;50;2637;59;641;48;0;5;0;10;5;44;0;403;2405;0;1077;11;221;0;111;201;19282;0;9;0;1030;0
BactV5V7-BC194-2_S194_L001;1920;5309;6;3403;11;391;70;0;0;0;23;19;0;3;3;1630;0;1383;21;268;0;67;41;22564;0;0;0;961;0
BactV5V7-BC193-1_S193_L001;2546;7011;35;2017;19;718;13;0;0;0;0;18;24;22;27;428;0;2167;20;692;0;91;157;21400;0;0;0;1379;0
BactV5V7-BC217-63_S217_L001;1550;5483;72;3392;9;469;17;0;0;0;13;11;27;20;164;586;0;1305;16;348;0;67;34;24483;0;0;0;799;0
BactV5V7-BC216-62_S216_L001;1402;5582;45;3180;4;418;16;0;0;6;15;0;37;16;42;848;0;1302;0;346;0;55;37;24884;0;0;0;717;0
BactV5V7-BC350-221_S350_L001;1478;5514;32;1312;73;526;34;0;0;0;12;12;34;7;187;1239;0;1072;6;421;0;15;207;26436;0;0;0;1005;0
BactV5V7-BC363-234_S363_L001;904;3991;142;5485;11;354;30;0;0;0;8;0;15;22;429;1108;0;1027;7;277;0;172;70;25421;0;18;0;612;0
BactV5V7-BC252-112_S252_L001;1209;6632;25;2884;8;402;18;0;0;0;14;2;27;9;311;392;0;1054;17;457;0;60;109;25829;0;0;0;768;0
BactV5V7-BC204-30_S204_L001;2294;9382;37;2680;31;569;34;0;0;0;17;22;51;41;76;1076;0;1322;18;576;0;121;126;21085;0;0;0;1070;0
BactV5V7-BC357-228_S357_L001;2047;7109;69;2869;46;824;40;0;0;0;219;51;66;5;476;2151;0;1262;26;432;0;54;185;24684;0;0;0;1192;0
