V1;Actinophytocola.sp..I10A.01801;Adhaeribacter.terreus;Agrobacterium.larrymoorei;Allocatelliglobosispora.scoriae;Ambiguous_taxa;Azospirillum.lipoferum;Azospirillum.lipoferum.4B;Azospirillum.sp..enrichment.culture.clone.Van11;Bacillus.acidiceler;Bacillus.gibsonii;Bacillus.nealsonii;Bacteriovorax.sp..EPC3;Bacteroidetes.bacterium;Caballeronia.glathei;Catellatospora.sp..RI59.SDHV.102;Chlamydiae.bacterium.Ga0074140;Cytophaga.sp..JSC.P2.223.10;Dinobryon.sp..FU22KAK;Flavobacterium.hauense;Flavobacterium.sp..DK6;Flavobacterium.sp..JM.222;Flavobacterium.sp..NW20;Gaiella.occulta;Kocuria.rhizophila;Mesorhizobium.sp..YJ06;Neorhizobium.huautlense;Nocardioides.sp.;Paenibacillus.alginolyticus;Paenibacillus.antarcticus;Paenibacillus.borealis;Paenibacillus.curdlanolyticus;Paenibacillus.glycanilyticus;Paenibacillus.graminis;Paenibacillus.hunanensis;Paenibacillus.kobensis;Paenibacillus.mucilaginosus;Paenibacillus.pectinilyticus;Paenibacillus.polymyxa;Paenibacillus.prosopidis;Paenibacillus.sp..B18;Paenibacillus.sp..B48.2010.;Paenibacillus.sp..BAB.5368;Paenibacillus.sp..BF32;Paenibacillus.sp..KJ012;Paenibacillus.sp..Soil766;Paenibacillus.sp..enrichment.culture.clone.LDC.4;Paenibacillus.typhae;Paraburkholderia.caribensis;Paracoccus.marinus;Rhizobium.cellulosilyticum;Rhodococcus.hoagii;Shinella.sp..SR.5.03;Solitalea.canadensis;Sphingomonas.sp..Bg12ra;Sphingomonas.sp..Cra17;Sphingomonas.sp..MIMD3;Sphingomonas.sp..TSK.1;Streptococcus.salivarius.subsp..thermophilus;Streptomyces.acidiscabies;Streptomyces.scabrisporus;Streptomyces.sp..NRRL.F.5123;Symbiobacterium.turbinis;Williamsia.faeni;actinobacterium.WWH12;bacterium;bacterium.YC.ZSS.LKJ142;bacterium.enrichment.culture.clone.ecb12;bacterium.ii1209;beta.proteobacterium.pACH94;delta.proteobacterium.WX81;endosymbiont.of.Acanthamoeba.sp..EI5;metagenome;uncultured.Acanthamoeba;uncultured.Acidimicrobiales.bacterium;uncultured.Acidobacteria.bacterium;uncultured.Acidobacterium.sp.;uncultured.Actinomycetales.bacterium;uncultured.Alicyclobacillaceae.bacterium;uncultured.Asticcacaulis.sp.;uncultured.Bacilli.bacterium;uncultured.Bacillus.sp.;uncultured.Bacteroidetes.bacterium;uncultured.Burkholderiaceae.bacterium;uncultured.Cellulosilyticum.sp.;uncultured.Cellvibrio.sp.;uncultured.Chitinophagaceae.bacterium;uncultured.Chlamydiales.bacterium;uncultured.Chloroflexaceae.bacterium;uncultured.Clostridium.sp.;uncultured.Coxiellaceae.bacterium;uncultured.Desulfosporosinus.sp.;uncultured.Desulfuromonadaceae.bacterium;uncultured.Desulfuromonadales.bacterium;uncultured.Dokdonella.sp.;uncultured.Ferruginibacter.sp.;uncultured.Firmicutes.bacterium;uncultured.Gemmatimonadaceae.bacterium;uncultured.Gemmatimonadales.bacterium;uncultured.Gemmatimonadetes.bacterium;uncultured.Geobacteraceae.bacterium;uncultured.Holophaga.sp.;uncultured.Hyphomicrobiaceae.bacterium;uncultured.Kofleriaceae.bacterium;uncultured.Massilia.sp.;uncultured.Myxococcales.bacterium;uncultured.Nannocystineae.bacterium;uncultured.Nitrospira.sp.;uncultured.Paenibacillus.sp.;uncultured.Polyangiaceae.bacterium;uncultured.Prosthecomicrobium.sp.;uncultured.Rhodocyclaceae.bacterium;uncultured.Rhodospirillales.bacterium;uncultured.Rubrobacterales.bacterium;uncultured.Solirubrobacter.sp.;uncultured.Sphingomonadaceae.bacterium;uncultured.Telluria.sp.;uncultured.Xanthomonadaceae.bacterium;uncultured.actinobacterium;uncultured.alpha.proteobacterium;uncultured.bacterium;uncultured.beta.proteobacterium;uncultured.compost.bacterium;uncultured.gamma.proteobacterium;uncultured.microorganism;uncultured.organism;uncultured.prokaryote;uncultured.proteobacterium;uncultured.soil.bacterium;unidentified.eubacterium.clone.BSV51
BactV5V7-BC65-196_S65_L001;0.0847457627118644;0;0;0;0;0.0949152542372881;0;0;0;0.0639225181598063;0;0;0;0;0;0;0;0;0;0.0663438256658596;0;0;0;0;0;0;0;0;0.0484261501210654;0;0;0;0;0;0;0;0;0.037772397094431;0;0;0;0;0;0;0;0.026634382566586;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00484261501210654;0;0;0;0;0.00920096852300242;0.401937046004843;0.0145278450363196;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.135108958837772;0;0;0;0;0;0;0;0;0
BactV5V7-BC74-209_S74_L001;0.225975261655566;0;0;0;0;0.552806850618459;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0137963843958135;0;0;0;0;0;0;0;0;0;0;0.00380589914367269;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0228353948620362;0;0;0;0;0;0;0;0;0.010941960038059;0;0;0;0.0580399619410086;0.00237868696479543;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00570884871550904;0;0.00570884871550904;0.00190294957183635;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0856327307326356;0;0;0;0;0;0;0;0;0
BactV5V7-BC71-202_S71_L001;0.328493647912886;0;0;0;0;0.306261343012704;0;0;0;0;0;0;0;0;0;0;0.0254083484573503;0;0;0.0898366606170599;0;0.014519056261343;0.0158802177858439;0;0;0;0;0;0.0235934664246824;0;0.0163339382940109;0;0;0;0;0.0367513611615245;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00272232304900181;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0303992740471869;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0989110707803993;0;0;0.00181488203266788;0;0;0;0;0;0
BactV5V7-BC2-7_S2_L001;0.315953654188948;0;0;0.0017825311942959;0;0.106951871657754;0;0.00802139037433155;0;0;0;0;0.00445632798573975;0;0;0;0;0;0;0.0089126559714795;0;0;0;0;0;0;0;0;0.0245098039215686;0;0;0;0;0;0.00579322638146168;0;0;0.00579322638146168;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00757575757575758;0;0;0;0;0.0151515151515152;0.151515151515152;0;0;0;0;0.00133689839572193;0;0;0;0;0;0;0;0.0606060606060606;0.00802139037433155;0;0;0;0.00089126559714795;0;0.00579322638146168;0;0;0;0;0;0;0;0;0;0;0.0147058823529412;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0142602495543672;0;0;0;0;0.225490196078431;0;0;0;0;0.0017825311942959;0;0;0.00445632798573975;0
BactV5V7-BC78-218_S78_L001;0.315503552026745;0;0;0;0;0.168407856247388;0;0;0;0.0221479314667781;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0472210614291684;0;0.0137902214793147;0;0;0;0;0.0263267864605098;0;0.0183869619724196;0.0112829084830756;0;0;0;0;0;0;0.0505641454241538;0;0.00793982448809026;0;0;0.0158796489761805;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00877559548683661;0;0;0;0.203092352695361;0;0;0;0;0;0;0;0;0;0;0;0.000835770998746344;0;0;0.00125365649811952;0;0;0.00167154199749269;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0831592143752612;0;0.0029251984956122;0;0;0;0;0;0;0
BactV5V7-BC58-180_S58_L001;0.239523418241578;0;0;0;0;0.0456039441248973;0;0;0;0.00534100246507806;0;0;0;0;0;0;0;0;0;0;0;0;0.560805258833196;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0776499589153656;0;0;0;0;0;0;0;0;0;0;0;0.00657354149548069;0;0;0.00534100246507806;0;0.00328677074774034;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00657354149548069;0;0;0;0;0.0464256368118324;0;0;0;0;0;0;0;0;0
BactV5V7-BC77-217_S77_L001;0.304100690215185;0;0;0;0;0.0466910272025985;0;0.00406008932196508;0;0.0178643930166464;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0109622411693057;0;0;0;0;0;0;0;0.0182704019488429;0;0;0;0.00893219650832318;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.519691433211531;0;0;0.00324807145757207;0;0;0;0;0;0;0;0;0;0.00852618757612668;0;0;0;0;0;0.0198944376776289;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.024766544863987;0;0;0;0;0.00162403572878603;0;0.00324807145757207;0;0.00365408038976857
BactV5V7-BC8-18_S8_L001;0.155662264905962;0;0;0;0;0.279311724689876;0;0;0;0.0340136054421769;0;0;0;0;0;0;0;0;0.00480192076830732;0;0;0;0;0;0;0;0;0;0.0324129651860744;0;0;0;0;0;0;0;0;0.0160064025610244;0;0;0;0;0;0.0104041616646659;0;0.040016006402561;0;0;0;0;0;0;0.00200080032012805;0.00360144057623049;0;0;0;0;0;0;0;0;0;0;0.00200080032012805;0;0;0;0;0;0;0;0.0988395358143257;0.00720288115246098;0;0.0040016006402561;0.000800320128051221;0;0;0;0;0;0;0;0.0104041616646659;0;0;0;0;0;0;0;0;0;0.0244097639055622;0;0.00360144057623049;0;0;0;0;0;0;0;0;0.0880352140856343;0;0;0.0128051220488195;0;0;0;0.00160064025610244;0;0;0;0;0;0;0;0.138455382152861;0.00200080032012805;0;0;0;0;0;0.0172068827531012;0.00600240096038415;0
BactV5V7-BC27-67_S27_L001;0.055745164960182;0;0;0;0;0.199848312476299;0;0;0;0.111111111111111;0;0.0231323473644293;0;0;0;0;0;0;0;0.00910125142207053;0;0;0;0;0;0;0;0;0.108456579446341;0;0;0;0.0417140690178233;0;0;0;0;0.0648464163822526;0;0;0.0212362533181646;0;0.0147895335608646;0;0;0.149412210845658;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0420932878270762;0;0;0;0;0;0;0;0;0.0656048540007584;0;0;0;0;0;0;0;0;0.0178232840348881;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0568828213879408;0;0;0;0;0;0;0;0;0
BactV5V7-BC57-179_S57_L001;0.174853372434018;0;0;0;0;0.0890762463343109;0;0;0;0.0135630498533724;0;0;0;0;0;0;0;0;0;0.0366568914956012;0;0;0;0;0;0;0;0;0.0139296187683284;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00953079178885631;0;0;0.0227272727272727;0;0;0;0;0;0;0;0;0;0;0;0.528225806451613;0;0;0.00219941348973607;0;0.0329912023460411;0.00219941348973607;0;0;0;0;0;0.00256598240469208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0692815249266862;0;0;0;0;0;0;0;0;0
BactV5V7-BC30-73_S30_L001;0.115813648293963;0;0;0;0;0.0547900262467192;0;0;0;0.0193569553805774;0.00229658792650919;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00459317585301837;0;0;0;0.0590551181102362;0;0;0;0;0;0;0;0;0.0229658792650919;0;0;0;0;0;0;0;0.0383858267716535;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00131233595800525;0.0275590551181102;0;0;0;0.421587926509186;0;0;0;0.00229658792650919;0;0;0;0;0;0;0;0;0;0;0.00360892388451444;0;0;0.00885826771653543;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.159776902887139;0;0.00164041994750656;0;0;0.0239501312335958;0;0;0.00229658792650919;0
BactV5V7-BC1-6_S1_L001;0.317169069462647;0;0;0;0;0.157273918741809;0.0271952817824377;0.15694626474443;0;0.0144167758846658;0;0;0;0;0;0;0;0;0;0.00622542595019659;0;0.00557011795543906;0;0;0.0209698558322412;0;0;0;0.0360419397116645;0;0;0;0;0;0;0;0;0.0235910878112713;0;0;0;0;0;0;0;0.0291612057667104;0;0;0;0.00851900393184797;0;0.00458715596330275;0;0;0.0117955439056356;0;0;0;0.00622542595019659;0;0;0;0;0;0.00688073394495413;0;0;0;0.00294888597640891;0;0;0;0.022608125819135;0;0;0;0;0;0;0;0.0114678899082569;0;0;0;0;0;0;0;0;0;0.0170380078636959;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00163826998689384;0;0;0;0;0;0;0;0;0;0;0;0;0.00360419397116645;0.0966579292267366;0.00622542595019659;0;0;0;0;0;0;0;0
BactV5V7-BC26-59_S26_L001;0.303977272727273;0;0;0;0;0.108901515151515;0;0;0;0.0404040404040404;0;0;0;0;0;0;0;0;0;0;0;0.00157828282828283;0;0;0.00726010101010101;0;0;0;0.113320707070707;0;0.00694444444444444;0;0;0;0;0;0;0.029040404040404;0;0;0;0;0;0;0;0.0394570707070707;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00189393939393939;0.0609217171717172;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00347222222222222;0;0;0.00347222222222222;0;0;0.0189393939393939;0;0;0.00252525252525253;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00126262626262626;0.232638888888889;0.00252525252525253;0;0;0;0;0;0;0;0
BactV5V7-BC64-195_S64_L001;0.17010631644778;0;0;0;0;0.273295809881176;0;0;0;0.0318949343339587;0;0;0;0;0;0;0;0;0;0.0075046904315197;0;0.0290806754221388;0.00469043151969981;0;0.00218886804252658;0;0;0;0.0303314571607255;0;0.0447154471544715;0;0;0;0;0;0;0.0209505941213258;0.017198248905566;0;0;0;0;0;0;0.0616010006253909;0.00375234521575985;0;0;0.00625390869293308;0.00281425891181989;0;0;0;0;0;0;0;0.000625390869293308;0;0;0;0;0;0;0;0.00125078173858662;0;0;0;0;0;0.114133833646029;0;0;0;0;0;0;0;0;0;0;0;0.0222013758599124;0;0;0;0;0.00562851782363977;0.00781738586616635;0.00437773608505316;0;0.0034396497811132;0.00218886804252658;0;0.0034396497811132;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00500312695434647;0;0;0.00594121325828643;0;0.109756097560976;0;0.00187617260787992;0;0;0;0;0.00594121325828643;0;0
BactV5V7-BC62-184_S62_L001;0.237531172069825;0;0;0;0;0.0891521197007481;0.00405236907730673;0.0165211970074813;0;0.00498753117206983;0;0;0;0;0;0;0;0;0;0.003428927680798;0;0.554551122194514;0;0;0;0;0;0;0.013715710723192;0;0;0;0;0;0;0;0;0.00810473815461347;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0158977556109726;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00311720698254364;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0336658354114713;0;0;0;0;0.00529925187032419;0;0;0;0
BactV5V7-BC24-57_S24_L001;0.0624617268830374;0;0;0;0;0.170545009185548;0;0.00765462339252909;0;0.137477036129822;0.00551132884262094;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00581751377832211;0;0;0;0.244029393753827;0;0;0.00949173300673607;0;0;0;0;0;0.0621555419473362;0;0;0.00765462339252909;0;0;0;0;0.124617268830374;0.00398040416411513;0;0;0;0;0;0;0;0;0;0;0;0.00153092467850582;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0220453153704838;0;0;0;0;0;0;0;0;0.00459277403551745;0;0;0;0;0;0;0;0;0.0156154317207593;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00428658909981629;0;0;0;0;0.099203919167177;0;0;0;0;0;0;0;0;0
BactV5V7-BC32-81_S32_L001;0.114939200926462;0;0;0;0;0.170237405906196;0;0;0;0.0257672264041691;0;0;0;0;0;0;0;0;0;0.00289519397799653;0;0;0;0;0;0;0;0;0.0434279096699479;0;0;0;0.00868558193398958;0.00926462072958888;0;0;0;0.0254777070063694;0;0;0;0;0;0;0;0.0495078170237406;0;0;0;0;0;0;0.0202663578459757;0.0318471337579618;0;0;0;0;0;0.0532715691951361;0;0;0.000868558193398958;0;0;0;0;0;0;0;0;0;0.171974522292994;0.00231615518239722;0;0;0;0;0;0;0;0;0;0;0.00897510133178923;0;0;0.00318471337579618;0;0.00492182976259409;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00810654313839027;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0356108859293573;0;0.201215981470759;0;0;0;0;0;0;0;0.00173711638679792;0
BactV5V7-BC20-47_S20_L001;0.161325074064099;0;0;0;0;0.0915701589011581;0;0;0;0.07702666307568;0.00377053595475357;0;0;0;0;0;0;0;0;0.00188526797737678;0;0;0.00430918394828979;0;0;0;0;0;0.125774306490708;0;0.0088876918933477;0;0.0161594398060867;0;0;0;0.0110422838674926;0.0403985995152168;0;0;0;0;0.0140048478319418;0;0;0.0562887153245354;0;0;0;0.000807971990304336;0;0;0;0;0;0;0;0;0;0;0;0;0.00269323996768112;0;0;0;0;0;0;0;0;0;0.254241852949098;0.00242391597091301;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00565580393213035;0.0137355238351737;0.000807971990304336;0;0;0;0;0;0;0.0021545919741449;0;0;0;0.000807971990304336;0;0;0;0;0;0;0;0;0;0;0;0;0.00700242391597091;0;0;0;0;0.0711015351467816;0.0021545919741449;0;0;0;0;0;0;0;0.00915701589011581
BactV5V7-BC31-74_S31_L001;0.127906976744186;0;0;0;0;0.259205426356589;0;0;0;0.0343992248062015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00508720930232558;0;0;0;0.172722868217054;0;0;0;0.0205910852713178;0;0;0;0;0.0724321705426357;0;0;0;0;0;0;0.0242248062015504;0.0445736434108527;0.00193798449612403;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0486918604651163;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00363372093023256;0;0.00169573643410853;0.00799418604651163;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0411821705426357;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00460271317829457;0.00387596899224806;0.109011627906977;0;0;0;0;0.0140503875968992;0;0;0;0
BactV5V7-BC14-37_S14_L001;0.245584725536993;0;0;0;0;0.301909307875895;0;0;0;0.0238663484486874;0;0;0;0;0;0;0;0;0;0.00954653937947494;0;0;0;0;0;0;0.00835322195704057;0;0.0307875894988067;0;0;0;0;0;0;0;0;0.00477326968973747;0;0.00787589498806683;0;0;0;0;0;0.0178997613365155;0;0;0;0;0;0;0;0;0;0;0;0;0.00214797136038186;0.0202863961813842;0;0;0;0;0.00739856801909308;0;0;0;0;0;0;0;0.0556085918854415;0;0;0.00381861575178998;0.00405727923627685;0.00190930787589499;0;0;0;0;0;0;0;0;0;0;0;0;0.00692124105011933;0;0;0;0;0;0;0;0;0;0;0;0;0.000477326968973747;0;0.00119331742243437;0;0.00143198090692124;0;0;0;0;0;0.00119331742243437;0;0.0315035799522673;0;0;0;0.00310262529832936;0.179474940334129;0;0;0;0;0;0;0;0.00644391408114558;0
BactV5V7-BC33-89_S33_L001;0.188648522912305;0;0.00232612235403582;0;0;0.105140730402419;0;0;0;0.0886252616887648;0;0;0;0;0;0;0;0;0;0.0204698767155152;0;0;0;0;0;0;0;0;0.169574319609211;0;0.00744359153291463;0.00488485694347523;0.0295417538962549;0.00767620376831821;0;0;0.00535008141428239;0.0897883228657827;0;0;0.00511746917887881;0;0.00418702023726448;0;0;0.0983949755757153;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0521051407304024;0;0;0;0;0;0;0;0;0.0039544080018609;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00348918353105373;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00186089788322866;0;0.0686206094440568;0.0148871830658293;0;0;0;0;0;0;0.00232612235403582;0
BactV5V7-BC28-68_S28_L001;0.0672363391050146;0;0;0;0;0.0577917697324039;0;0;0;0.0492466831571846;0;0;0;0;0;0;0;0;0;0.00584663818304475;0;0;0;0;0;0;0;0;0.151787722059816;0;0;0;0;0;0;0.0119181470654374;0;0.0386777602878345;0.00764560377782775;0;0;0;0;0.0112435349673937;0;0.0409264672813132;0;0;0.00494715538565325;0;0.005396896784349;0;0;0;0;0;0;0;0;0;0;0.00652125028108837;0;0;0;0;0;0;0;0;0;0;0.122104789745896;0;0.00134922419608725;0;0;0;0.007195862379132;0;0;0;0;0;0.00337306049021812;0;0;0.0008994827973915;0;0;0.0260850011243535;0;0;0;0;0;0.001798965594783;0;0;0;0;0;0;0.00112435349673937;0;0;0.00112435349673937;0;0;0;0;0;0;0;0;0;0;0;0.003597931189566;0;0.366988981335732;0;0.00404767258826175;0;0;0;0;0;0;0
BactV5V7-BC17-42_S17_L001;0.315539983511954;0;0;0;0;0.16962077493817;0;0;0;0.0267930750206101;0;0;0.00432811211871393;0;0;0;0;0;0;0;0;0.016075845012366;0;0;0;0;0;0;0.104080791426216;0;0;0;0;0;0;0;0;0.0206100577081616;0;0;0;0;0;0.00226710634789777;0;0;0;0;0;0;0;0;0;0;0;0;0.00453421269579555;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0570898598516076;0;0;0.00103050288540808;0;0.0125721352019786;0;0;0;0;0;0;0;0;0;0.00370981038746909;0;0.00288540807914262;0.00412201154163232;0;0;0.00721352019785655;0;0;0.0051525144270404;0;0;0;0;0;0;0;0;0.00556471558120363;0;0;0;0;0.000412201154163232;0;0;0;0;0.0282357790601814;0;0;0.00886232481450948;0;0.171269579554823;0;0;0;0;0.00288540807914262;0;0;0.010717230008244;0.00535861500412201
