Absidia;Achroiostachys;Acremonium;Acrophialophora;Agaricus;Alternaria;Amanita;Ampelomyces;Angustimassarina;Aniptodera;Aphanoascus;Apodus;Arrhenia;Arthrobotrys;Articulospora;Ascobolus;Aspergillus;Atractiella;Aureobasidium;Auxarthron;Barnettozyma;Beauveria;Betamyces;Biappendiculispora;Bipolaris;Biscogniauxia;Bjerkandera;Blumeria;Botryoderma;Botryotrichum;Bovista;Byssochlamys;Byssonectria;Cadophora;Candelariella;Capronia;Cephalotrichum;Chaetomium;Cheilymenia;Chloridium;Chromelosporium;Chrysosporium;Ciliolarina;Cladophialophora;Cladorrhinum;Cladosporium;Clarireedia;Clitopilus;Clonostachys;Colletotrichum;Conocybe;Coprinellus;Coprinopsis;Coprinus;Cortinarius;Crocicreas;Curvularia;Cyberlindnera;Cyphellophora;Dactylaria;Dactylella;Dendryphion;Dichotomopilus;Dictyosporium;Dinemasporium;Drechmeria;Efibulobasidium;Eleutherascus;Emericellopsis;Entoloma;Equiseticola;Erysiphe;Exophiala;Exserohilum;Filobasidium;Flammulina;Fontanospora;Fusarium;Fusicolla;Fusidium;Gaertneriomyces;Gamsia;Ganoderma;Gelasinospora;Geminibasidium;Geomyces;Gibberella;Gliomastix;Glomus;Gongronella;Gymnoascus;Gyrothrix;Heteroconium;Hirsutella;Humicola;Hymenoscyphus;Hyphoderma;Hyphodiscus;Hyphodontia;Hypholoma;Ilyonectria;Iodophanus;Itersonilia;Jackrogersella;Knufia;Lachnum;Lactarius;Lambertella;Lecanicillium;Lepista;Leucothecium;Lobulomyces;Lycoperdon;Malassezia;Marasmiellus;Marasmius;Mariannaea;Meliniomyces;Metacordyceps;Metapochonia;Metarhizium;Microdochium;Microscypha;Minimedusa;Mollisia;Monocillium;Mortierella;Mrakia;Mycoarthris;Mycosphaerella;Myriodontium;Myrmecridium;Naganishia;Neobulgaria;Neodevriesia;Neoroussoella;Neosetophoma;Oidiodendron;Operculomyces;Ophiosphaerella;Orbilia;Paragibellulopsis;Paramyrothecium;Paranamyces;Paraphaeosphaeria;Paraphoma;Penicillium;Periconia;Peziza;Phaeoacremonium;Phaeosphaeria;Phialemoniopsis;Phialemonium;Phialocephala;Phlyctochytrium;Pholiotina;Phomatospora;Platystomum;Pleurophoma;Podospora;Preussia;Psathyrella;Pseudallescheria;Pseudeurotium;Pseudocoleophoma;Pseudogymnoascus;Pseudombrophila;Pseudopithomyces;Pseudorobillarda;Pseudotaeniolina;Pyrenochaeta;Radulomyces;Ramicandelaber;Ramophialophora;Rhizoctonia;Rhizophlyctis;Rhizophydium;Rhodotorula;Romagnesiella;Sarocladium;Schizothecium;Schwanniomyces;Sclerostagonospora;Sclerotinia;Scutellinia;Scytalidium;Serendipita;Setophaeosphaeria;Setophoma;Simocybe;Slooffia;Slopeiomyces;Smittium;Solicoccozyma;Spegazzinia;Spizellomyces;Sporidesmiella;Sporobolomyces;Staphylotrichum;Stemphylium;Striatibotrys;Subulicystidium;Symmetrospora;Syncephalis;Talaromyces;Tausonia;Tetracladium;Thelonectria;Tolypocladium;Torula;Trametes;Trichocladium;Trichoderma;Trichopezizella;Udeniozyma;Umbelopsis;Ustilago;Valsonectria;Volutella;Vuilleminia;Waitea;Zopfiella
FunITS-BC323-244_S323_L001;0;12;63;0;0;0;0;0;0;0;14;143;0;1377;0;0;115;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;8;0;46;141;0;0;0;0;0;9;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;173;52;0;0;157;0;0;0;0;300;0;21;0;0;13;32;0;0;80;48;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;38;0;0;13;0;0;0;0;0;0;0;0;0;492;0;0;0;0;46;1134;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;408;0;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;288;0;0;0;0;0;0;12;0;0;0;0;10;0;0;0;0;74;32;0;0;10;12;0;0;0;11;0;0;0;1109;0;0;0;0;0;0;13;0;0;110;0;0;51;53;14;0;0;23;265;0;0;0;0;0;0;0;0;0
FunITS-BC90-2_S90_L001;0;0;9;0;0;17;0;0;0;0;0;8;0;1005;0;25;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;16;39;0;0;0;3699;13;0;0;50;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;112;14;0;0;55;0;0;0;0;53;0;39;0;0;0;0;0;0;0;10;0;0;0;0;0;0;6;0;0;0;0;0;0;8;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;486;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;89;10;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;96;0;0;34;0;0;0;65;0;0;28;0;0;0;0;0;0;502;0;0;0;8;5;0;0;0;0;0;0;0;334;0;541;0;0;0;0;0;0;0;33;0;0;11;3;0;0;0;15;14;0;0;0;0;0;0;0;0;0
FunITS-BC92-4_S92_L001;0;0;0;0;0;14;0;0;0;0;0;54;0;1055;0;498;0;0;0;0;0;0;0;0;0;0;0;64;0;0;0;0;25;18;0;0;0;0;56;12;495;0;0;0;0;24;0;0;52;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;131;0;0;0;97;0;0;0;0;1703;0;155;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;87;0;0;0;0;0;18;0;0;0;0;0;15;0;0;0;0;0;0;0;0;4;0;0;0;0;8;101;0;0;3;820;0;0;0;0;0;0;0;0;0;0;0;18;19;0;0;0;0;2;0;195;73;342;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;39;0;0;0;0;0;0;0;0;0;299;6;0;0;0;0;0;0;6;0;0;0;0;265;0;622;0;0;0;0;0;13;0;12;0;0;12;30;0;0;0;77;9;0;12;0;0;0;11;0;0;0
FunITS-BC79-238_S79_L001;0;0;110;0;0;0;0;0;0;0;0;0;0;4;0;0;158;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0;77;0;0;0;0;0;73;40;3897;19;0;0;40;15;0;0;0;0;7;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;151;27;0;0;122;0;0;0;0;246;0;30;0;0;0;0;0;0;0;115;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;13;289;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;103;19;0;0;0;0;0;0;0;0;0;0;0;50;0;146;0;429;0;0;0;0;0;0;40;4;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;912;0;0;0;0;0;0;0;0;0;82;0;0;0;52;0;0;0;113;104;0;0;0;0;0;0;0;0;0
FunITS-BC65-224_S65_L001;0;7;88;0;0;0;0;0;0;0;5;18;0;0;0;73;8;0;0;8;0;0;0;7;0;0;0;0;0;0;0;0;169;0;0;0;0;0;0;71;972;0;0;0;8;0;0;0;70;0;5;0;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;208;24;0;0;138;0;0;0;0;273;0;89;0;17;0;0;0;0;0;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;14;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;53;1264;11;0;0;0;0;0;0;0;16;0;0;0;6;0;33;0;0;8;0;812;17;12;0;0;0;0;2;0;0;0;0;0;58;0;24;0;703;0;0;0;0;0;0;76;0;0;0;0;0;12;0;0;0;32;419;0;0;11;0;0;0;0;0;12;0;0;1305;0;0;0;0;0;0;16;0;0;47;0;41;48;0;35;0;0;229;177;0;0;0;0;0;7;0;0;0
FunITS-BC142-83_S142_L001;0;0;21;0;0;7;0;0;0;0;0;14;0;906;0;721;0;0;0;0;0;0;0;4;0;0;0;249;0;0;0;0;21;25;0;0;0;0;11;15;276;0;0;0;36;194;0;0;72;0;0;5;0;0;0;14;0;0;0;7;0;0;0;4;0;0;0;0;190;0;0;0;97;0;0;0;0;425;0;553;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;12;0;0;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;14;0;34;60;0;17;1011;0;0;57;0;0;0;0;0;0;0;0;14;37;0;0;0;9;0;0;769;60;1108;0;0;0;0;0;6;0;0;0;0;27;0;0;0;85;0;0;0;4;0;0;23;0;0;0;0;0;0;0;0;0;357;69;0;0;0;0;5;0;0;0;0;0;0;569;0;246;0;0;0;0;0;291;0;22;0;0;35;10;0;0;0;62;53;0;0;0;0;0;20;0;0;0
FunITS-BC80-239_S80_L001;0;0;2038;0;0;0;0;0;0;0;0;5;0;669;0;164;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;7;1265;0;0;0;0;19;0;0;507;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1502;0;0;0;25;0;0;0;0;633;0;17;0;0;0;0;0;0;12;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;22;108;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2789;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;0;0;0;6;0;0;14;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;259;0;23;0;0;0;0;0;31;0;0;0;0;37;43;0;0;0;0;13;0;0;0;0;0;13;0;0;0
FunITS-BC123-58_S123_L001;0;0;10;0;0;0;0;0;0;0;0;0;0;62;0;70;0;0;0;0;0;0;0;0;23;0;0;4407;0;0;0;0;0;22;0;0;0;0;16;0;2402;0;0;0;45;79;0;12;0;0;0;0;0;0;0;69;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;135;0;0;0;0;2504;0;303;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;7;0;0;0;0;0;0;0;12;220;0;0;0;213;0;0;51;0;0;0;0;0;0;9;0;0;8;0;0;0;0;0;7;30;11;0;0;0;0;26;0;22;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;11;0;0;0;0;0;48;0;0;0;0;36;0;17;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;15;0;0;10;0;0;30;0;0;0
FunITS-BC27-186_S27_L001;0;0;1529;0;0;0;0;0;0;0;0;0;0;358;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1669;0;0;0;0;0;0;0;347;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6103;0;0;0;17;0;0;0;0;272;0;29;0;0;0;0;0;0;0;122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;121;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;141;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;185;0;13;0;0;0;0;0;62;0;10;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FunITS-BC52-211_S52_L001;0;0;0;0;0;0;0;0;0;0;0;0;0;470;0;0;0;0;0;0;0;0;0;0;0;0;0;4365;0;0;0;0;0;6;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;95;0;0;0;0;0;0;0;969;0;0;0;738;0;0;0;0;1800;0;1446;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;52;0;0;0;0;0;851;0;539;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;322;0;0;0;0;0;16;0;0;0;0;29;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FunITS-BC94-6_S94_L001;0;0;9;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;310;0;0;3252;0;0;0;0;0;0;6;0;0;0;0;0;168;0;0;0;5;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7508;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;61;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;76;0;0;0;0;0;138;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;204;0;0;0
FunITS-BC20-179_S20_L001;0;0;5;0;0;0;0;0;0;0;0;0;0;63;0;0;0;0;0;0;0;0;0;0;0;0;0;3177;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;4;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;152;0;0;0;0;2617;0;1811;0;0;0;0;0;0;962;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2095;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;24;322;0;0;81;0;0;51;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;472;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;8;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;34;0;0;0;45;17;0;0;0;0;0;0;0;0;0
FunITS-BC124-59_S124_L001;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;52;0;0;4285;0;0;0;0;0;38;0;0;0;0;0;7;8;0;0;0;7;38;0;0;11;0;0;0;0;0;0;172;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;201;0;0;0;0;2844;0;952;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;11;0;0;0;0;0;0;38;0;0;0;0;18;0;0;0;0;0;0;0;0;40;0;0;0;382;0;0;15;16;0;0;0;0;0;0;0;0;245;0;11;0;0;0;0;94;569;15;0;0;0;26;0;0;0;0;0;0;14;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;12;21;0;0;0;0;0;7;0;0;0;0;16;0;28;0;0;0;0;0;0;0;38;0;0;0;0;30;0;0;0;0;1201;461;0;0;0;0;0;426;0;0;0
FunITS-BC22-181_S22_L001;0;0;20;0;0;25;0;0;0;0;0;0;0;0;0;0;0;12;22;0;0;0;0;0;8;0;0;5600;0;0;0;0;0;10;0;0;0;0;0;11;0;0;0;0;32;18;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;79;0;0;0;101;0;0;0;0;1963;0;3208;0;0;0;25;0;0;100;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;356;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;56;27;0;0;0;0;0;0;18;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;53;0;0;0;0;0;35;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;503;0;0;0;0;0;37;0;0;0;0;0;15;0;0;0
FunITS-BC53-212_S53_L001;0;18;92;0;0;0;0;0;0;0;0;22;0;2112;0;58;0;0;0;0;0;0;0;0;0;0;0;51;0;0;0;0;14;7;0;0;0;0;14;0;3933;0;0;0;0;12;0;0;124;0;0;0;0;0;0;0;0;0;0;0;330;0;0;0;0;0;0;0;2390;0;0;0;53;0;0;0;0;927;0;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;4;0;0;0;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;632;0;0;0;0;0;0;0;0;0;0;0;50;12;0;0;0;0;0;0;428;46;96;0;0;0;0;0;0;0;0;0;0;11;0;0;0;26;0;0;0;0;112;0;15;0;0;0;0;0;0;0;0;0;138;0;0;0;0;0;0;0;0;0;0;6;0;192;0;294;0;0;25;0;0;0;0;0;0;0;15;0;0;0;0;0;230;0;0;0;0;0;10;0;0;0
FunITS-BC46-205_S46_L001;0;0;23;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;6335;0;0;0;0;0;28;0;0;0;0;0;17;17;13;0;0;0;33;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3501;0;0;0;163;0;0;0;0;1120;0;563;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0;8;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;543;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;161;0;0;0;0;0;0;0;79;0;0;0;0;16;0;0;0;0;0;43;0;26;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;36;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0
FunITS-BC95-7_S95_L001;0;0;10;0;0;8;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;18;0;0;5287;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;82;17;0;0;8;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;95;0;0;0;0;1090;0;852;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5555;0;0;14;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;15;111;0;0;0;0;12;0;21;0;0;0;0;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;0;0;0;0;0;0;92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;7;0;0;0;0;0;15;0;0;0
FunITS-BC93-5_S93_L001;0;0;99;0;0;2;0;0;0;0;0;102;0;405;0;0;0;5;2;0;0;0;0;0;0;0;0;0;0;10;0;0;8;0;0;0;0;0;0;16;155;0;0;0;35;4;0;0;49;0;0;0;3;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;7875;0;0;0;4;0;0;0;0;1286;17;439;0;18;0;0;0;0;47;30;0;0;0;0;0;0;0;88;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;37;0;4;0;6;0;0;0;0;28;1549;0;0;0;0;2;0;0;0;0;0;0;0;36;0;7;0;0;0;0;35;189;9;0;0;0;0;0;0;0;0;0;0;51;0;0;0;2;0;0;0;18;0;0;28;0;0;0;0;0;0;0;0;4;161;0;0;0;0;20;0;8;0;0;0;0;0;525;0;0;0;0;25;0;0;19;0;7;0;0;0;20;0;0;0;56;15;0;12;0;0;0;7;0;0;0
FunITS-BC141-82_S141_L001;0;0;0;0;0;28;0;0;0;0;0;18;0;290;0;247;0;0;0;0;0;0;0;0;0;0;3;83;0;0;0;0;14;14;0;0;0;0;36;9;8022;0;0;0;0;39;0;0;33;0;0;0;3;0;0;34;0;0;0;29;0;0;0;0;0;0;0;0;155;0;0;0;47;0;0;0;0;248;0;526;0;0;5;0;0;0;18;18;0;0;0;0;0;0;20;11;0;0;0;0;0;55;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;25;0;20;42;0;18;1229;0;0;0;0;0;0;0;0;0;0;0;44;24;0;0;0;7;0;0;542;63;0;0;0;0;0;0;33;0;0;0;0;10;0;3;0;190;0;0;14;0;288;0;39;0;0;0;0;0;0;0;0;0;129;31;0;4;15;0;0;0;0;0;0;0;0;533;0;44;0;0;0;0;0;0;0;36;0;10;25;19;0;0;0;23;65;0;13;0;0;0;73;0;0;0
FunITS-BC60-219_S60_L001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4158;0;0;0;0;0;1372;0;0;0;0;0;0;28;0;0;0;7;0;0;0;0;0;0;0;0;0;0;35;0;0;0;0;25;0;0;0;0;0;0;0;208;0;0;0;76;0;0;0;0;6709;0;842;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;7;0;0;0;0;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
