#Sample_Name	Sample_ID	Organism	Genotype	Compartment	Timepoint	Abbrev	Summary
OomITS-BC1-1_L001	1	H. vulgare	BI1	soil	14 dpi	Hv	Hv_BI1_14dpi_soil
OomITS-BC9-10_L001	10	A. thaliana	Col-0	Rhizoplane	14 dpi	At	At_Col-0_14dpi_Rhizoplane
OomITS-BC107-100_L001	100	A. thaliana	Col-0	Rhizosphere	14 dpi	At	At_Col-0_14dpi_Rhizosphere
OomITS-BC108-101_L001	101	A. thaliana	BI1	Rhizosphere	14 dpi	At	At_BI1_14dpi_Rhizosphere
OomITS-BC109-102_L001	102	A. thaliana	BI1	soil	28 dpi	At	At_BI1_28dpi_soil
OomITS-BC110-103_L001	103	A. thaliana	Col-0	soil	14 dpi	At	At_Col-0_14dpi_soil
OomITS-BC170-104_L001	104	A. thaliana	BI1	Rhizoplane	28 dpi	At	At_BI1_28dpi_Rhizoplane
OomITS-BC111-105_L001	105	A. thaliana	Col-0	Rhizosphere	14 dpi	At	At_Col-0_14dpi_Rhizosphere
OomITS-BC112-106_L001	106	A. thaliana	Col-0	Rhizosphere	14 dpi	At	At_Col-0_14dpi_Rhizosphere
OomITS-BC113-107_L001	107	A. thaliana	BI1	Rhizosphere	28 dpi	At	At_BI1_28dpi_Rhizosphere
OomITS-BC114-108_L001	108	A. thaliana	BI1	soil	14 dpi	At	At_BI1_14dpi_soil
OomITS-BC171-109_L001	109	A. thaliana	Col-0	Rhizoplane	28 dpi	At	At_Col-0_28dpi_Rhizoplane
OomITS-BC10-11_L001	11	A. thaliana	BI1	Rhizoplane	14 dpi	At	At_BI1_14dpi_Rhizoplane
OomITS-BC115-110_L001	110	A. thaliana	BI1	Rhizosphere	28 dpi	At	At_BI1_28dpi_Rhizosphere
OomITS-BC116-111_L001	111	H. vulgare	BI1	Rhizosphere	14 dpi	Hv	Hv_BI1_14dpi_Rhizosphere
OomITS-BC117-112_L001	112	H. vulgare	GP	Rhizosphere	14 dpi	Hv	Hv_GP_14dpi_Rhizosphere
OomITS-BC172-113_L001	113	A. thaliana	Col-0	Rhizoplane	28 dpi	At	At_Col-0_28dpi_Rhizoplane
OomITS-BC173-114_L001	114	A. thaliana	BI1	Rhizoplane	28 dpi	At	At_BI1_28dpi_Rhizoplane
OomITS-BC174-115_L001	115	A. thaliana	Col-0	Rhizoplane	28 dpi	At	At_Col-0_28dpi_Rhizoplane
OomITS-BC118-116_L001	116	A. thaliana	BI1	soil	28 dpi	At	At_BI1_28dpi_soil
OomITS-BC119-117_L001	117	A. thaliana	BI1	soil	28 dpi	At	At_BI1_28dpi_soil
OomITS-BC120-118_L001	118	A. thaliana	BI1	Rhizosphere	28 dpi	At	At_BI1_28dpi_Rhizosphere
OomITS-BC121-119_L001	119	A. thaliana	BI1	soil	28 dpi	At	At_BI1_28dpi_soil
OomITS-BC11-12_L001	12	H. vulgare	GP	roots	14 dpi	Hv	Hv_GP_14dpi_roots
OomITS-BC122-120_L001	120	A. thaliana	BI1	Rhizosphere	28 dpi	At	At_BI1_28dpi_Rhizosphere
OomITS-BC175-121_L001	121	A. thaliana	Col-0	Rhizoplane	28 dpi	At	At_Col-0_28dpi_Rhizoplane
OomITS-BC176-122_L001	122	A. thaliana	BI1	Rhizoplane	28 dpi	At	At_BI1_28dpi_Rhizoplane
OomITS-BC177-123_L001	123	A. thaliana	BI1	Rhizoplane	28 dpi	At	At_BI1_28dpi_Rhizoplane
OomITS-BC123-124_L001	124	A. thaliana	Col-0	Rhizosphere	28 dpi	At	At_Col-0_28dpi_Rhizosphere
OomITS-BC124-125_L001	125	A. thaliana	BI1	Rhizosphere	28 dpi	At	At_BI1_28dpi_Rhizosphere
OomITS-BC125-126_L001	126	A. thaliana	Col-0	soil	28 dpi	At	At_Col-0_28dpi_soil
OomITS-BC126-127_L001	127	A. thaliana	Col-0	soil	28 dpi	At	At_Col-0_28dpi_soil
OomITS-BC127-128_L001	128	A. thaliana	Col-0	soil	28 dpi	At	At_Col-0_28dpi_soil
OomITS-BC128-129_L001	129	A. thaliana	Col-0	soil	28 dpi	At	At_Col-0_28dpi_soil
OomITS-BC76-13_L001	13	A. thaliana	BI1	Rhizoplane	14 dpi	At	At_BI1_14dpi_Rhizoplane
OomITS-BC129-130_L001	130	A. thaliana	Col-0	Rhizosphere	28 dpi	At	At_Col-0_28dpi_Rhizosphere
OomITS-BC130-131_L001	131	A. thaliana	Col-0	roots	28 dpi	At	At_Col-0_28dpi_roots
OomITS-BC131-132_L001	132	A. thaliana	Col-0	roots	14 dpi	At	At_Col-0_14dpi_roots
OomITS-BC132-133_L001	133	A. thaliana	Col-0	roots	14 dpi	At	At_Col-0_14dpi_roots
OomITS-BC133-134_L001	134	A. thaliana	BI1	roots	28 dpi	At	At_BI1_28dpi_roots
OomITS-BC134-135_L001	135	A. thaliana	BI1	roots	28 dpi	At	At_BI1_28dpi_roots
OomITS-BC135-136_L001	136	A. thaliana	BI1	roots	14 dpi	At	At_BI1_14dpi_roots
OomITS-BC136-137_L001	137	A. thaliana	BI1	roots	14 dpi	At	At_BI1_14dpi_roots
OomITS-BC137-138_L001	138	A. thaliana	BI1	Rhizosphere	28 dpi	At	At_BI1_28dpi_Rhizosphere
OomITS-BC138-139_L001	139	A. thaliana	Col-0	roots	28 dpi	At	At_Col-0_28dpi_roots
OomITS-BC12-14_L001	14	A. thaliana	BI1	roots	14 dpi	At	At_BI1_14dpi_roots
OomITS-BC139-140_L001	140	A. thaliana	Col-0	roots	14 dpi	At	At_Col-0_14dpi_roots
OomITS-BC178-141_L001	141	A. thaliana	Col-0	Rhizoplane	28 dpi	At	At_Col-0_28dpi_Rhizoplane
OomITS-BC140-142_L001	142	A. thaliana	BI1	roots	28 dpi	At	At_BI1_28dpi_roots
OomITS-BC141-143_L001	143	A. thaliana	BI1	roots	14 dpi	At	At_BI1_14dpi_roots
OomITS-BC142-144_L001	144	A. thaliana	BI1	roots	28 dpi	At	At_BI1_28dpi_roots
OomITS-BC143-145_L001	145	A. thaliana	Col-0	soil	28 dpi	At	At_Col-0_28dpi_soil
OomITS-BC144-146_L001	146	A. thaliana	Col-0	Rhizosphere	28 dpi	At	At_Col-0_28dpi_Rhizosphere
OomITS-BC145-147_L001	147	A. thaliana	Col-0	Rhizosphere	28 dpi	At	At_Col-0_28dpi_Rhizosphere
OomITS-BC146-148_L001	148	A. thaliana	Col-0	soil	28 dpi	At	At_Col-0_28dpi_soil
OomITS-BC147-149_L001	149	A. thaliana	BI1	soil	28 dpi	At	At_BI1_28dpi_soil
OomITS-BC13-15_L001	15	H. vulgare	GP	roots	14 dpi	Hv	Hv_GP_14dpi_roots
OomITS-BC179-150_L001	150	A. thaliana	Col-0	Rhizoplane	28 dpi	At	At_Col-0_28dpi_Rhizoplane
OomITS-BC180-151_L001	151	A. thaliana	Col-0	Rhizoplane	28 dpi	At	At_Col-0_28dpi_Rhizoplane
OomITS-BC148-152_L001	152	A. thaliana	Col-0	Rhizosphere	28 dpi	At	At_Col-0_28dpi_Rhizosphere
OomITS-BC149-153_L001	153	A. thaliana	BI1	soil	28 dpi	At	At_BI1_28dpi_soil
OomITS-BC181-154_L001	154	A. thaliana	BI1	Rhizoplane	28 dpi	At	At_BI1_28dpi_Rhizoplane
OomITS-BC182-155_L001	155	A. thaliana	Col-0	Rhizoplane	28 dpi	At	At_Col-0_28dpi_Rhizoplane
OomITS-BC150-156_L001	156	A. thaliana	BI1	soil	28 dpi	At	At_BI1_28dpi_soil
OomITS-BC151-157_L001	157	A. thaliana	Col-0	soil	28 dpi	At	At_Col-0_28dpi_soil
OomITS-BC152-158_L001	158	A. thaliana	BI1	Rhizosphere	28 dpi	At	At_BI1_28dpi_Rhizosphere
OomITS-BC153-159_L001	159	A. thaliana	Col-0	soil	28 dpi	At	At_Col-0_28dpi_soil
OomITS-BC77-16_L001	16	A. thaliana	Col-0	Rhizoplane	14 dpi	At	At_Col-0_14dpi_Rhizoplane
OomITS-BC154-160_L001	160	A. thaliana	BI1	Rhizosphere	28 dpi	At	At_BI1_28dpi_Rhizosphere
OomITS-BC155-161_L001	161	A. thaliana	BI1	soil	28 dpi	At	At_BI1_28dpi_soil
OomITS-BC156-162_L001	162	A. thaliana	Col-0	Rhizosphere	28 dpi	At	At_Col-0_28dpi_Rhizosphere
OomITS-BC183-163_L001	163	A. thaliana	Col-0	Rhizoplane	28 dpi	At	At_Col-0_28dpi_Rhizoplane
OomITS-BC157-164_L001	164	A. thaliana	BI1	roots	28 dpi	At	At_BI1_28dpi_roots
OomITS-BC158-165_L001	165	A. thaliana	BI1	roots	28 dpi	At	At_BI1_28dpi_roots
OomITS-BC159-166_L001	166	A. thaliana	Col-0	roots	28 dpi	At	At_Col-0_28dpi_roots
OomITS-BC160-167_L001	167	A. thaliana	Col-0	roots	28 dpi	At	At_Col-0_28dpi_roots
OomITS-BC161-168_L001	168	A. thaliana	Col-0	roots	28 dpi	At	At_Col-0_28dpi_roots
OomITS-BC162-169_L001	169	A. thaliana	BI1	Rhizosphere	28 dpi	At	At_BI1_28dpi_Rhizosphere
OomITS-BC14-17_L001	17	A. thaliana	Col-0	roots	14 dpi	At	At_Col-0_14dpi_roots
OomITS-BC163-170_L001	170	A. thaliana	Col-0	Rhizosphere	28 dpi	At	At_Col-0_28dpi_Rhizosphere
OomITS-BC184-171_L001	171	A. thaliana	BI1	Rhizoplane	28 dpi	At	At_BI1_28dpi_Rhizoplane
OomITS-BC164-172_L001	172	A. thaliana	BI1	roots	28 dpi	At	At_BI1_28dpi_roots
OomITS-BC165-173_L001	173	A. thaliana	BI1	roots	28 dpi	At	At_BI1_28dpi_roots
OomITS-BC166-174_L001	174	A. thaliana	Col-0	roots	28 dpi	At	At_Col-0_28dpi_roots
OomITS-BC167-175_L001	175	A. thaliana	Col-0	roots	28 dpi	At	At_Col-0_28dpi_roots
OomITS-BC168-176_L001	176	A. thaliana	Col-0	roots	28 dpi	At	At_Col-0_28dpi_roots
OomITS-BC185-177_L001	177	A. thaliana	BI1	Rhizoplane	28 dpi	At	At_BI1_28dpi_Rhizoplane
OomITS-BC193-178_L001	178	H. vulgare	GP	roots	28 dpi	Hv	Hv_GP_28dpi_roots
OomITS-BC194-179_L001	179	H. vulgare	GP	roots	28 dpi	Hv	Hv_GP_28dpi_roots
OomITS-BC15-18_L001	18	H. vulgare	GP	roots	14 dpi	Hv	Hv_GP_14dpi_roots
OomITS-BC195-180_L001	180	H. vulgare	GP	roots	28 dpi	Hv	Hv_GP_28dpi_roots
OomITS-BC196-181_L001	181	H. vulgare	BI1	roots	28 dpi	Hv	Hv_BI1_28dpi_roots
OomITS-BC197-182_L001	182	H. vulgare	BI1	roots	28 dpi	Hv	Hv_BI1_28dpi_roots
OomITS-BC198-183_L001	183	H. vulgare	GP	roots	28 dpi	Hv	Hv_GP_28dpi_roots
OomITS-BC199-184_L001	184	H. vulgare	GP	roots	28 dpi	Hv	Hv_GP_28dpi_roots
OomITS-BC200-185_L001	185	H. vulgare	BI1	roots	28 dpi	Hv	Hv_BI1_28dpi_roots
OomITS-BC201-186_L001	186	H. vulgare	BI1	soil	28 dpi	Hv	Hv_BI1_28dpi_soil
OomITS-BC202-187_L001	187	H. vulgare	GP	soil	28 dpi	Hv	Hv_GP_28dpi_soil
OomITS-BC203-188_L001	188	H. vulgare	BI1	Rhizosphere	28 dpi	Hv	Hv_BI1_28dpi_Rhizosphere
OomITS-BC204-189_L001	189	H. vulgare	GP	Rhizosphere	28 dpi	Hv	Hv_GP_28dpi_Rhizosphere
OomITS-BC16-19_L001	19	A. thaliana	Col-0	roots	14 dpi	At	At_Col-0_14dpi_roots
OomITS-BC205-190_L001	190	H. vulgare	BI1	Rhizosphere	28 dpi	Hv	Hv_BI1_28dpi_Rhizosphere
OomITS-BC206-191_L001	191	H. vulgare	GP	Rhizosphere	28 dpi	Hv	Hv_GP_28dpi_Rhizosphere
OomITS-BC207-192_L001	192	H. vulgare	GP	Rhizosphere	28 dpi	Hv	Hv_GP_28dpi_Rhizosphere
OomITS-BC208-193_L001	193	H. vulgare	BI1	Rhizosphere	28 dpi	Hv	Hv_BI1_28dpi_Rhizosphere
OomITS-BC209-194_L001	194	H. vulgare	GP	soil	28 dpi	Hv	Hv_GP_28dpi_soil
OomITS-BC210-195_L001	195	H. vulgare	GP	roots	28 dpi	Hv	Hv_GP_28dpi_roots
OomITS-BC211-196_L001	196	H. vulgare	BI1	roots	28 dpi	Hv	Hv_BI1_28dpi_roots
OomITS-BC212-197_L001	197	H. vulgare	GP	roots	28 dpi	Hv	Hv_GP_28dpi_roots
OomITS-BC213-198_L001	198	H. vulgare	GP	roots	28 dpi	Hv	Hv_GP_28dpi_roots
OomITS-BC214-199_L001	199	H. vulgare	BI1	roots	28 dpi	Hv	Hv_BI1_28dpi_roots
OomITS-BC2-2_L001	2	H. vulgare	GP	soil	14 dpi	Hv	Hv_GP_14dpi_soil
OomITS-BC78-20_L001	20	A. thaliana	BI1	Rhizoplane	14 dpi	At	At_BI1_14dpi_Rhizoplane
OomITS-BC215-200_L001	200	H. vulgare	GP	roots	28 dpi	Hv	Hv_GP_28dpi_roots
OomITS-BC216-201_L001	201	H. vulgare	BI1	roots	28 dpi	Hv	Hv_BI1_28dpi_roots
OomITS-BC217-202_L001	202	H. vulgare	GP	roots	28 dpi	Hv	Hv_GP_28dpi_roots
OomITS-BC218-203_L001	203	H. vulgare	BI1	roots	28 dpi	Hv	Hv_BI1_28dpi_roots
OomITS-BC219-204_L001	204	H. vulgare	GP	Rhizosphere	28 dpi	Hv	Hv_GP_28dpi_Rhizosphere
OomITS-BC220-205_L001	205	H. vulgare	BI1	roots	28 dpi	Hv	Hv_BI1_28dpi_roots
OomITS-BC221-206_L001	206	H. vulgare	BI1	Rhizosphere	28 dpi	Hv	Hv_BI1_28dpi_Rhizosphere
OomITS-BC222-207_L001	207	H. vulgare	GP	soil	28 dpi	Hv	Hv_GP_28dpi_soil
OomITS-BC223-208_L001	208	H. vulgare	BI1	Rhizosphere	28 dpi	Hv	Hv_BI1_28dpi_Rhizosphere
OomITS-BC224-209_L001	209	H. vulgare	BI1	roots	28 dpi	Hv	Hv_BI1_28dpi_roots
OomITS-BC17-21_L001	21	A. thaliana	BI1	Rhizosphere	14 dpi	At	At_BI1_14dpi_Rhizosphere
OomITS-BC225-210_L001	210	H. vulgare	BI1	roots	28 dpi	Hv	Hv_BI1_28dpi_roots
OomITS-BC226-211_L001	211	H. vulgare	GP	roots	28 dpi	Hv	Hv_GP_28dpi_roots
OomITS-BC227-212_L001	212	H. vulgare	GP	Rhizosphere	28 dpi	Hv	Hv_GP_28dpi_Rhizosphere
OomITS-BC228-213_L001	213	H. vulgare	GP	Rhizosphere	28 dpi	Hv	Hv_GP_28dpi_Rhizosphere
OomITS-BC229-214_L001	214	H. vulgare	BI1	Rhizosphere	28 dpi	Hv	Hv_BI1_28dpi_Rhizosphere
OomITS-BC230-215_L001	215	H. vulgare	BI1	soil	28 dpi	Hv	Hv_BI1_28dpi_soil
OomITS-BC231-216_L001	216	H. vulgare	GP	Rhizosphere	28 dpi	Hv	Hv_GP_28dpi_Rhizosphere
OomITS-BC232-217_L001	217	H. vulgare	BI1	roots	28 dpi	Hv	Hv_BI1_28dpi_roots
OomITS-BC233-218_L001	218	H. vulgare	BI1	roots	28 dpi	Hv	Hv_BI1_28dpi_roots
OomITS-BC234-219_L001	219	H. vulgare	GP	roots	28 dpi	Hv	Hv_GP_28dpi_roots
OomITS-BC18-22_L001	22	A. thaliana	BI1	Rhizosphere	14 dpi	At	At_BI1_14dpi_Rhizosphere
OomITS-BC235-220_L001	220	H. vulgare	GP	Rhizosphere	28 dpi	Hv	Hv_GP_28dpi_Rhizosphere
OomITS-BC236-221_L001	221	H. vulgare	BI1	soil	28 dpi	Hv	Hv_BI1_28dpi_soil
OomITS-BC237-222_L001	222	H. vulgare	BI1	Rhizosphere	28 dpi	Hv	Hv_BI1_28dpi_Rhizosphere
OomITS-BC238-223_L001	223	H. vulgare	BI1	soil	28 dpi	Hv	Hv_BI1_28dpi_soil
OomITS-BC239-224_L001	224	H. vulgare	GP	soil	28 dpi	Hv	Hv_GP_28dpi_soil
OomITS-BC240-225_L001	225	H. vulgare	GP	Rhizosphere	28 dpi	Hv	Hv_GP_28dpi_Rhizosphere
OomITS-BC241-226_L001	226	H. vulgare	GP	soil	28 dpi	Hv	Hv_GP_28dpi_soil
OomITS-BC242-227_L001	227	H. vulgare	BI1	soil	28 dpi	Hv	Hv_BI1_28dpi_soil
OomITS-BC243-228_L001	228	H. vulgare	BI1	soil	28 dpi	Hv	Hv_BI1_28dpi_soil
OomITS-BC244-229_L001	229	H. vulgare	BI1	soil	28 dpi	Hv	Hv_BI1_28dpi_soil
OomITS-BC19-23_L001	23	H. vulgare	BI1	roots	14 dpi	Hv	Hv_BI1_14dpi_roots
OomITS-BC245-230_L001	230	H. vulgare	GP	soil	28 dpi	Hv	Hv_GP_28dpi_soil
OomITS-BC246-231_L001	231	H. vulgare	BI1	Rhizosphere	28 dpi	Hv	Hv_BI1_28dpi_Rhizosphere
OomITS-BC247-232_L001	232	H. vulgare	BI1	Rhizosphere	28 dpi	Hv	Hv_BI1_28dpi_Rhizosphere
OomITS-BC248-233_L001	233	H. vulgare	BI1	soil	28 dpi	Hv	Hv_BI1_28dpi_soil
OomITS-BC249-234_L001	234	H. vulgare	BI1	Rhizosphere	28 dpi	Hv	Hv_BI1_28dpi_Rhizosphere
OomITS-BC250-235_L001	235	H. vulgare	BI1	soil	28 dpi	Hv	Hv_BI1_28dpi_soil
OomITS-BC251-236_L001	236	H. vulgare	GP	soil	28 dpi	Hv	Hv_GP_28dpi_soil
OomITS-BC252-237_L001	237	H. vulgare	BI1	soil	28 dpi	Hv	Hv_BI1_28dpi_soil
OomITS-BC253-238_L001	238	H. vulgare	GP	soil	28 dpi	Hv	Hv_GP_28dpi_soil
OomITS-BC254-239_L001	239	H. vulgare	BI1	soil	28 dpi	Hv	Hv_BI1_28dpi_soil
OomITS-BC20-24_L001	24	H. vulgare	GP	roots	14 dpi	Hv	Hv_GP_14dpi_roots
OomITS-BC255-240_L001	240	H. vulgare	GP	Rhizosphere	28 dpi	Hv	Hv_GP_28dpi_Rhizosphere
OomITS-BC256-241_L001	241	H. vulgare	GP	Rhizosphere	28 dpi	Hv	Hv_GP_28dpi_Rhizosphere
OomITS-BC257-242_L001	242	H. vulgare	BI1	Rhizosphere	28 dpi	Hv	Hv_BI1_28dpi_Rhizosphere
OomITS-BC258-243_L001	243	H. vulgare	BI1	Rhizosphere	28 dpi	Hv	Hv_BI1_28dpi_Rhizosphere
OomITS-BC259-244_L001	244	H. vulgare	GP	soil	28 dpi	Hv	Hv_GP_28dpi_soil
OomITS-BC260-245_L001	245	H. vulgare	BI1	soil	28 dpi	Hv	Hv_BI1_28dpi_soil
OomITS-BC261-246_L001	246	H. vulgare	GP	soil	28 dpi	Hv	Hv_GP_28dpi_soil
